sequenceID,sum_diff,mean_diff,max_diff,min_diff,std_deviation,mean,median,variance,min_value,max_value,range_value,iqr,abs_skewness,kurtosis,count,unique_count,percentile_25,percentile_50,percentile_75,autocorr,sqrt_sum_diff,square_sum_diff,log_sum_diff,loglog_sum_diff,sqrt_mean_diff,square_mean_diff,log_mean_diff,loglog_mean_diff,sqrt_max_diff,square_max_diff,log_max_diff,loglog_max_diff,sqrt_min_diff,square_min_diff,log_min_diff,loglog_min_diff,sqrt_std_deviation,square_std_deviation,log_std_deviation,loglog_std_deviation,sqrt_mean,square_mean,log_mean,loglog_mean,sqrt_median,square_median,log_median,loglog_median,sqrt_variance,square_variance,log_variance,loglog_variance,sqrt_min_value,square_min_value,log_min_value,loglog_min_value,sqrt_max_value,square_max_value,log_max_value,loglog_max_value,sqrt_range_value,square_range_value,log_range_value,loglog_range_value,sqrt_iqr,square_iqr,log_iqr,loglog_iqr,sqrt_abs_skewness,square_abs_skewness,log_abs_skewness,loglog_abs_skewness,sqrt_kurtosis,square_kurtosis,log_kurtosis,loglog_kurtosis,sqrt_count,square_count,log_count,loglog_count,sqrt_unique_count,square_unique_count,log_unique_count,loglog_unique_count,sqrt_percentile_25,square_percentile_25,log_percentile_25,loglog_percentile_25,sqrt_percentile_50,square_percentile_50,log_percentile_50,loglog_percentile_50,sqrt_percentile_75,square_percentile_75,log_percentile_75,loglog_percentile_75,sqrt_autocorr,square_autocorr,log_autocorr,loglog_autocorr
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00RMQ_WTSI/problems/chr5:49600000-91636128,450532,1.1232494882783963,13,1,10.857017335766937,5.2923799171274855,1.0,117.87482542914378,0,128,128,4.0,4.008325197940826,21.28914491055047,401098,128,0.0,1.0,4.0,0.9940323391292772,671.2168055107082,202979083024,13.018184385694322,2.566347178953278,1.059834651385959,1.2616894129176792,0.1162258133957127,-2.152220312972565,3.605551275463989,169,2.5649493574615367,0.9419387347481112,1.0,1,0.0,0.0,3.294998836990225,117.8748254291438,2.3848116299848257,0.8691201400826923,2.3005173151114264,28.00928518721433,1.666268034516287,0.5105864158678347,1.0,1.0,0.0,0.0,10.857017335766937,13894.47446995112,4.769623259969651,1.5622673206426376,0.0,0,-23.025850929940457,0.0,11.31370849898476,16384,4.852030263919617,1.5793972284736488,11.31370849898476,16384,4.852030263919617,1.5793972284736488,2.0,16.0,1.3862943611198906,0.3266342599782809,2.002080217658829,16.06667089244736,1.388373497701903,0.3281329164495715,4.614016136789128,453.2276910224169,3.0581973141979266,1.1178256293618267,633.3229823715542,160879605604,12.901961065458003,2.557379320391809,11.31370849898476,16384,4.852030263919617,1.5793972284736488,0.0,0.0,-23.025850929940457,0.0,1.0,1.0,0.0,0.0,2.0,16.0,1.3862943611198906,0.3266342599782809,0.9970117046099696,0.9881002912348223,-0.005985538519504,0.0
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S2P_WTSI/problems/chr5:49600000-91636128,927720,1.2939615962374522,48,1,15.24111974705306,6.932870919239792,2.0,232.29173114401075,0,194,194,4.0,4.361558526301742,25.23448742121065,716962,195,1.0,2.0,5.0,0.9955536273686268,963.1822257496242,860664398400,13.74048524210252,2.6203466021897137,1.1375243277563132,1.674336612537375,0.2577085173055721,-1.355926110626024,6.928203230275509,2304,3.871201010907891,1.3535647976324747,1.0,1,0.0,0.0,3.903987672502701,232.29173114401075,2.723997021775482,1.0021002949590183,2.6330345457740947,48.0646991828408,1.9362740014745816,0.6607655085272879,1.4142135623730951,4.0,0.6931471805599453,-0.3665129205816643,15.24111974705306,53959.448357881374,5.447994043550965,1.695247475518964,0.0,0,-23.025850929940457,0.0,13.92838827718412,37636,5.267858159063328,1.6616238585115888,13.92838827718412,37636,5.267858159063328,1.6616238585115888,2.0,16.0,1.3862943611198906,0.3266342599782809,2.088434467801598,19.023192778355423,1.4728294536482307,0.3871853491399641,5.023394014131347,636.7793554112384,3.228211607369193,1.1719283019670803,846.7360863929209,514034509444,13.482778119571982,2.60141317620651,13.96424004376894,38025,5.272999558563747,1.6625993768319909,1.0,1.0,0.0,0.0,1.4142135623730951,4.0,0.6931471805599453,-0.3665129205816643,2.23606797749979,25.0,1.6094379124341005,0.4758849953271105,0.9977743368961876,0.9911270249668308,-0.0044562871461619,0.0
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S4L_WTSI/problems/chr5:49600000-91636128,615130,1.176744034786002,18,1,17.08398347625857,8.122584841412557,1.0,291.8624914170759,0,216,216,6.0,3.941738560210596,20.372187188297545,522740,214,1.0,1.0,7.0,0.9972251544784146,784.3022376609671,378384916900,13.329588906564425,2.589986293997466,1.0847783344010895,1.3847265234044397,0.1627513320583094,-1.81553181323688,4.242640687119285,324,2.8903717578961645,1.0613851298016763,1.0,1,0.0,0.0,4.133277570676638,291.8624914170759,2.8381413857730964,1.0431493963035232,2.850014884419476,65.97638450594506,2.0946484337404923,0.7393857272350381,1.0,1.0,0.0,-0.3665129205816643,17.08398347625857,85183.7138961827,5.676282771546193,1.7362965768634686,0.0,0,-23.025850929940457,0.0,14.696938456699067,46656,5.375278407684165,1.6818103694507691,14.696938456699067,46656,5.375278407684165,1.6818103694507691,2.449489742783178,36.0,1.791759469228055,0.5831980807826592,1.9853812128179809,15.537302877051102,1.371621884920447,0.3159938972393589,4.513555936099335,415.0260108350346,3.014170597488761,1.1033247002908633,723.0076071522346,273257107600,13.166839487504848,2.577701508786105,14.628738838327791,45796,5.365976015021851,1.6800782821876006,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.3665129205816643,2.6457513110645907,49.0,1.9459101490553128,0.6657298105782764,0.9986116134305744,0.994458008724498,-0.0027787025421628,0.0
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S6H_WTSI/problems/chr5:49600000-91636128,664100,1.1327429401851687,7,1,3.8079984750060847,1.7283587792118742,1.0,14.500852385648669,0,122,122,2.0,8.791104703196911,137.17299358393646,586277,117,0.0,1.0,2.0,0.9506994828062868,814.9233092751734,441028810000,13.406188019528804,2.5957163928656724,1.0643039698249597,1.2831065685393408,0.1246420720894262,-2.0823090724036444,2.6457513110645907,49,1.9459101490553128,0.6657298105782764,1.0,1,0.0,0.0,1.9514093560824404,14.500852385648669,1.3371037164579476,0.2905058691260174,1.314670597226497,2.98722406967876,0.5471722756891142,-0.6029915797301676,1.0,1.0,0.0,-0.3665129205816643,3.807998475006085,210.27471991037268,2.674207432915895,0.9836530496859628,0.0,0,-23.025850929940457,0.0,11.04536101718726,14884,4.804021044733257,1.569453284877013,11.04536101718726,14884,4.804021044733257,1.569453284877013,1.4142135623730951,4.0,0.6931471805599453,-0.3665129205816643,2.9649797137918013,77.28352190257085,2.1737403810696323,0.7764493616367181,11.71208749898738,18816.430168778672,4.921242856149068,1.593561111641344,765.6872729776825,343720720729,13.281547653119206,2.586375677402532,10.816653826391969,13689,4.762173934797756,1.5607042729746456,0.0,0.0,-23.025850929940457,0.0,1.0,1.0,0.0,-0.3665129205816643,1.4142135623730951,4.0,0.6931471805599453,-0.3665129205816643,0.975038195562762,0.9038295066081412,-0.0505572676308831,0.0
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S7F_WTSI/problems/chr5:49600000-91636128,514436,1.1646860390088185,10,1,11.051184793712771,5.207823933202927,1.0,122.1286853447884,0,129,129,4.0,4.090514400197869,21.40507536646508,441696,130,0.0,1.0,4.0,0.993652718605776,717.2419396549535,264644398096,13.15082643390465,2.576484603333768,1.0792062078253712,1.356493569462051,0.1524515562844877,-1.880908397108752,3.1622776601683795,100,2.302585092994046,0.834032445247956,1.0,1,0.0,0.0,3.3243322327518308,122.12868534478838,2.402537643366462,0.8765255301543227,2.282065716232319,27.121430119241204,1.6501620973461135,0.5008735239030029,1.0,1.0,0.0,-0.3665129205816643,11.051184793712771,14915.415784046332,4.805075286732924,1.569672710714268,0.0,0,-23.025850929940457,0.0,11.357816691600547,16641,4.859812404361672,1.580999837241824,11.357816691600547,16641,4.859812404361672,1.580999837241824,2.0,16.0,1.3862943611198906,0.3266342599782809,2.0225020148810406,16.732308058226135,1.4086707323658274,0.342646516725443,4.626561938034017,458.1772514440502,3.063628060565487,1.1195998543550965,664.6021366200985,195095356416,12.998377141623305,2.564824514409221,11.40175425099138,16900,4.867534450455582,1.582587535887981,0.0,0.0,-23.025850929940457,0.0,1.0,1.0,0.0,-0.3665129205816643,2.0,16.0,1.3862943611198906,0.3266342599782809,0.9968213072591176,0.9873457251926494,-0.0063675110323421,0.0
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SE1_WTSI/problems/chr5:49600000-91636128,939325,1.260571583476256,13,1,8.78539074601024,3.57949645646097,1.0,77.18309056008236,0,169,169,3.0,5.849207304231948,46.09272015192575,745159,161,0.0,1.0,3.0,0.9877387143827808,969.1878042980112,882331455625,13.7529168111932,2.621250933338969,1.122751790680494,1.5890407170678356,0.2315652557804898,-1.4628935627561113,3.605551275463989,169,2.5649493574615367,0.9419387347481112,1.0,1,0.0,0.0,2.9640159827521577,77.18309056008236,2.1730901994217064,0.7761502095806464,1.89195572264812,12.81279488181664,1.2752221358999796,0.243120387670388,1.0,1.0,0.0,-0.3665129205816643,8.78539074601024,5957.229468405875,4.346180398843413,1.4692973901405917,0.0,0,-23.025850929940457,0.0,13.0,28561,5.1298987149230735,1.6350859153080564,13.0,28561,5.1298987149230735,1.6350859153080564,1.7320508075688772,9.0,1.0986122886681098,0.0940478276166991,2.418513449255957,34.21322608788037,1.766306148512235,0.5688904441856208,6.7891619624166974,2124.538851003742,3.8306550232579015,1.3430358129188793,863.2259263947069,555261935281,13.52135289740908,2.6042701319849235,12.68857754044952,25921,5.081404364984463,1.6255876731852767,0.0,0.0,-23.025850929940457,0.0,1.0,1.0,0.0,-0.3665129205816643,1.7320508075688772,9.0,1.0986122886681098,0.0940478276166991,0.9938504487007996,0.9756277678905488,-0.0123370753364906,0.0
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SHW_WTSI/problems/chr5:49600000-91636128,913096,1.680205651742685,11,1,8.537849390685764,3.7374706501497856,1.0,72.89487221803329,0,171,171,3.0,5.583367565257024,42.774607534255054,543444,158,0.0,1.0,3.0,0.9745430351951074,955.5605684623032,833744305216,13.72459630191364,2.6191895736233883,1.2962274691359863,2.8230910321480613,0.5189161976750587,-0.6560128776879277,3.3166247903554,121,2.3978952727983707,0.874591382923689,1.0,1,0.0,0.0,2.92195985439324,72.89487221803327,2.1445091482979843,0.7629106909008747,1.9332539021426507,13.96868686073106,1.3184090858832385,0.2764257717476533,1.0,1.0,0.0,-0.3665129205816643,8.537849390685764,5313.662395683401,4.289018296595969,1.45605787146082,0.0,0,-23.025850929940457,0.0,13.07669683062202,29241,5.14166355650266,1.6373766762290247,13.07669683062202,29241,5.14166355650266,1.6373766762290247,1.7320508075688772,9.0,1.0986122886681098,0.0940478276166991,2.362915056716391,31.17399336876415,1.719792100674981,0.5422034118191965,6.540229929769676,1829.6670497095488,3.755944644616471,1.3233398233823734,737.1865435559713,295331381136,13.205681944356275,2.58064718730518,12.569805089976535,24964,5.062595033026967,1.6218792042124106,0.0,0.0,-23.025850929940457,0.0,1.0,1.0,0.0,-0.3665129205816643,1.7320508075688772,9.0,1.0986122886681098,0.0940478276166991,0.987189462664137,0.9497341274472924,-0.0257865997011299,0.0
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SJS_WTSI/problems/chr5:49600000-91636128,1180009,1.1791505783789402,13,1,10.994937633878138,4.172661130036204,1.0,120.8886535728698,0,211,211,2.0,6.262871491985115,53.35640607778099,1000729,206,1.0,1.0,3.0,0.9933293183841092,1086.282191697903,1392421240081,13.981032623531403,2.637701598421992,1.085887000741302,1.3903960864913891,0.1647943304305919,-1.803057064825544,3.605551275463989,169,2.5649493574615367,0.9419387347481112,1.0,1,0.0,0.0,3.315861522120328,120.8886535728698,2.397434951764911,0.8743993957139173,2.042709262238805,17.41110090611501,1.4285539929529167,0.3566627389312933,1.0,1.0,0.0,-0.3665129205816643,10.994937633878138,14614.066562661326,4.794869903529822,1.5675465762738627,0.0,0,-23.025850929940457,0.0,14.52583904633395,44521,5.351858133476067,1.677443815276561,14.52583904633395,44521,5.351858133476067,1.677443815276561,1.4142135623730951,4.0,0.6931471805599453,-0.3665129205816643,2.502572974357614,39.223559325119865,1.8346387847290808,0.6068476145704258,7.304546945415642,2846.906069537064,3.976994046973672,1.380526269360886,1000.3644335940778,1001458531441,13.816239292372844,2.62584466064031,14.352700094407323,42436,5.327876168789581,1.672952691374451,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.3665129205816643,1.7320508075688772,9.0,1.0986122886681098,0.0940478276166991,0.996659078313196,0.986703134761439,-0.0066930300541571,0.0
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SMM_WTSI/problems/chr5:49600000-91636128,627733,1.092237638371247,11,1,7.244435901643646,3.2707321614064515,1.0,52.48185153302339,0,102,102,2.0,4.773223020130753,30.31482910713141,574723,103,0.0,1.0,2.0,0.9876301943768804,792.2960305340422,394048719289,13.349870195808853,2.591506661638603,1.0451017358952417,1.1929830586747991,0.0882284712035347,-2.4278255652978284,3.3166247903554,121,2.3978952727983707,0.874591382923689,1.0,1,0.0,0.0,2.6915489781246125,52.48185153302339,1.980233712374724,0.6832148742935688,1.8085165637633656,10.697688871658515,1.1850138624175026,0.1697544727612888,1.0,1.0,0.0,-0.3665129205816643,7.244435901643646,2754.3447403343093,3.960467424749447,1.376362054853514,0.0,0,-23.025850929940457,0.0,10.099504938362076,10404,4.624972813284271,1.5314704927383054,10.099504938362076,10404,4.624972813284271,1.5314704927383054,1.4142135623730951,4.0,0.6931471805599453,-0.3665129205816643,2.184770701957245,22.783657999906147,1.5630217622895397,0.4466209747522239,5.50589040093711,918.9888637945816,3.4116370022698503,1.2271922354204876,758.1048740115051,330306526729,13.261643464575478,2.58487591859913,10.14889156509222,10609,4.634728988229636,1.533577726591972,0.0,0.0,-23.025850929940457,0.0,1.0,1.0,0.0,-0.3665129205816643,1.4142135623730951,4.0,0.6931471805599453,-0.3665129205816643,0.99379585145888,0.9754134008449146,-0.0124469484903389,0.0
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SPG_WTSI/problems/chr5:49600000-91636128,685921,1.1026197468826506,10,1,4.0273220639436005,1.9208450948746472,1.0,16.219323006726945,0,88,88,2.0,5.926720970638762,49.36510516295029,622084,88,0.0,1.0,2.0,0.9590414718343352,828.2034774136124,470487618241,13.438517739726706,2.598125041790205,1.0500570207768007,1.2157703062155605,0.0976889363933133,-2.3259669669462832,3.1622776601683795,100,2.302585092994046,0.834032445247956,1.0,1,0.0,0.0,2.006818891665015,16.219323006726942,1.3931016548183042,0.3315326675969012,1.3859455598524233,3.689645878503992,0.6527652427810634,-0.4265377200385262,1.0,1.0,0.0,-0.3665129205816643,4.0273220639436005,263.066438796542,2.7862033096366083,1.0246798481568464,0.0,0,-23.025850929940457,0.0,9.38083151964686,7744,4.477336814478207,1.4990284086108945,9.38083151964686,7744,4.477336814478207,1.4990284086108945,1.4142135623730951,4.0,0.6931471805599453,-0.3665129205816643,2.434485771295196,35.126021463809266,1.779471104025632,0.5763161875814957,7.026030540991854,2436.9136077491416,3.8992438013751376,1.360782637251833,788.723018555944,386988503056,13.340830410834636,2.5908292882378,9.38083151964686,7744,4.477336814478207,1.4990284086108945,0.0,0.0,-23.025850929940457,0.0,1.0,1.0,0.0,-0.3665129205816643,1.4142135623730951,4.0,0.6931471805599453,-0.3665129205816643,0.9793066280968056,0.919760544698168,-0.041820960159555,0.0
